"filename", "language", "HTML", "SCSS", "JSON", "CSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\aboutUs.html", "HTML", 439, 0, 0, 0, 0, 0, 0, 0, 6, 445
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\coming.html", "HTML", 204, 0, 0, 0, 0, 0, 0, 0, 8, 212
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\contactUs.html", "HTML", 304, 0, 0, 0, 0, 0, 0, 0, 8, 312
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\css\style.css", "CSS", 0, 0, 0, 1461, 0, 0, 0, 1, 170, 1632
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\css\style.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\css\style.scss", "SCSS", 0, 1075, 0, 0, 0, 0, 0, 35, 66, 1176
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\experience.html", "HTML", 572, 0, 0, 0, 0, 0, 0, 0, 28, 600
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\blog.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\coming-soon.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\landing-main-2.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\landing-main.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\layered-waves-haikei.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\stacked-waves-haikei (3).svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\undraw_certificate_-343-v.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\undraw_code_thinking_re_gka2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\undraw_contact_us_-15-o2 (1).svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\undraw_contact_us_-15-o2 (2).svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\undraw_contact_us_-15-o2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\images\undraw_questions_re_1fy7.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\index.html", "HTML", 542, 0, 0, 0, 0, 0, 0, 0, 10, 552
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\script\app.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\script\particles\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 5, 22
"d:\Complete_Solution\Project_1\Website_1\ujjwal-kapoor-consultancy-website\script\particles\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 219, 0, 25, 244
